sid_A,sid_B,species_A,species_B,gap_mean,gap_std,n_runs,npos_bin,nneg_bin,gap_ci_lo,gap_ci_hi,gap_p,gap_snr,concept,j
137,33,Cliff Swallow,Yellow billed Cuckoo,0.167976440917867,0.009987477426284861,6,10,17,0.15508705071147877,0.17471242068643889,0.0,16.818705437968845,"a large, hawk-like body",62
137,40,Cliff Swallow,Olive sided Flycatcher,0.17068088129071549,3.120478297677177e-08,3,10,20,0.17068084810226256,0.17068090330293906,0.0,5469527.280176335,"a large, hawk-like body",62
137,59,Cliff Swallow,California Gull,0.030343582481947684,4.818110013892254e-09,6,10,20,0.030343579371871043,0.030343588702100965,0.0,6296511.678395999,"a large, hawk-like body",62
137,110,Cliff Swallow,Geococcyx,0.13147962963461468,3.342417155242163e-08,6,10,20,0.13147959691996824,0.13147967035960062,0.0,3933551.378439794,"a large, hawk-like body",62
137,135,Cliff Swallow,Bank Swallow,0.1363262700278017,0.002496406771615819,6,10,19,0.1331034227440262,0.13793772208300037,0.0,54.60899702853892,"a large, hawk-like body",62
137,190,Cliff Swallow,Red cockaded Woodpecker,0.26743177970607196,0.010806159201912956,3,10,15,0.25652043151285825,0.27684677017839715,0.0,24.7480880749917,"a large, hawk-like body",62
149,29,Brown Thrasher,American Crow,0.14778603685833205,0.002543255151910904,6,11,17,0.1461443464153812,0.1510693651410273,0.0,58.10900911345144,"a large, hawk-like body",62
149,32,Brown Thrasher,Mangrove Cuckoo,0.28590092302437503,0.0025432705345939505,6,11,12,0.28425918156269714,0.28918427116524703,0.0,112.41467198361038,"a large, hawk-like body",62
149,33,Brown Thrasher,Yellow billed Cuckoo,0.2388454714475934,5.389366483721484e-08,6,12,17,0.23884540796435028,0.23884552784823498,0.0,4431709.004388651,"a large, hawk-like body",62
149,40,Brown Thrasher,Olive sided Flycatcher,0.2257381312475404,0.01329813664813731,3,10,17,0.21240255152453308,0.23747993383349608,0.0,16.975170071077944,"a large, hawk-like body",62
149,59,Brown Thrasher,California Gull,0.024713667474877243,0.011894187384417977,6,10,17,0.010577567981347236,0.036974754411122523,0.0,2.077793688131707,"a large, hawk-like body",62
149,72,Brown Thrasher,Pomarine Jaeger,0.38350429620824905,2.814781123166286e-08,3,12,17,0.38350427944320165,0.38350432629533965,0.0,13624173.790219203,"a large, hawk-like body",62
149,108,Brown Thrasher,White necked Raven,0.24415235928566256,0.0025432645117575803,6,11,17,0.24251063706900688,0.24743569965145862,0.0,95.99959345987806,"a large, hawk-like body",62
149,110,Brown Thrasher,Geococcyx,0.1865368795914396,0.013298145663615217,3,10,17,0.17320130111094262,0.1982787068505983,0.0,14.027285028753447,"a large, hawk-like body",62
149,135,Brown Thrasher,Bank Swallow,0.20036654907980397,0.0028435015480154807,3,11,17,0.1987248522906284,0.2034036874130508,0.0,70.46472302755659,"a large, hawk-like body",62
149,137,Brown Thrasher,Cliff Swallow,0.05505724995682493,0.013298110065657787,3,10,17,0.04172170295575901,0.06679903892776397,0.0,4.140231181787959,"a large, hawk-like body",62
149,190,Brown Thrasher,Red cockaded Woodpecker,0.33683877460344197,0.002815740073042287,6,12,15,0.33457293792154874,0.34043339526126415,0.0,119.62708408659148,"a large, hawk-like body",62
190,29,Red cockaded Woodpecker,American Crow,0.18017935389542095,0.0038453453472498326,3,11,15,0.17628949424646162,0.18351703349365364,0.0,46.8564816882904,"a large, hawk-like body",62
190,33,Red cockaded Woodpecker,Yellow billed Cuckoo,0.09799330315584853,0.0031480959613965553,3,12,15,0.0957742687028062,0.10134175002767383,0.0,31.127800526528116,"a large, hawk-like body",62
