sid_A,sid_B,concept_idx,concept,shift_B_fwd,shift_A_fwd,shift_A_bwd,shift_B_bwd,leakage_fwd,leakage_bwd,leakage_sym,n_A,n_B,part
11,36,3,beak_3,-3.9477080804317666e-07,-0.012135714292526245,1.0836830099947292e-08,0.05681733042001724,0.012135319521718202,-0.05681731958318714,-0.02234100003073447,10,10,beak
11,40,3,beak_3,2.8085196390748024e-09,8.34465012644614e-08,1.5541445907985008e-09,-1.1920929132713809e-08,-8.06379816253866e-08,1.347507372351231e-08,-3.3581453950937146e-08,10,10,beak
11,42,3,beak_3,-1.5720142698683048e-07,-6.836652573838364e-06,-4.1187739441284066e-08,8.34465012644614e-08,6.679451146851534e-06,-1.2463424070574547e-07,3.277408453072894e-06,10,10,beak
11,45,3,beak_3,-7.329916229537048e-07,-0.00047135353088378906,-2.6927082785732637e-07,0.000334191310685128,0.00047062053926083536,-0.0003344605815129853,6.807997887392503e-05,10,10,beak
11,49,3,beak_3,-4.319008262143598e-09,-2.8610230629055877e-07,-1.123407811221e-09,-5.9604645663569045e-09,2.817832980284152e-07,4.8370567551359045e-09,1.4331017739177554e-07,10,10,beak
20,31,3,beak_3,-5.607944899566064e-07,-0.007079035043716431,-2.5174454520993095e-08,0.002413463545963168,0.007078474249226474,-0.002413488720417689,0.0023324927644043925,10,10,beak
20,36,3,beak_3,-0.00016220376710407436,-0.007387769408524036,4.98262706969399e-05,0.05681769177317619,0.007225565641419962,-0.05676786550247925,-0.024771149930529646,10,10,beak
20,40,3,beak_3,-3.54702933691442e-10,5.364417887676609e-08,-5.9117155615240335e-12,0.0,-5.399888181045753e-08,-5.9117155615240335e-12,-2.700239676300953e-08,10,10,beak
20,42,3,beak_3,1.8121226741385499e-09,-3.820657639153069e-06,2.7575879357755184e-09,9.536743306171047e-08,3.8224697618272074e-06,-9.260984512593495e-08,1.8649299583506362e-06,10,10,beak
20,45,3,beak_3,4.314069812494381e-08,-0.0002643585321493447,1.127648907583989e-08,0.0003343045827932656,0.0002644016728474696,-0.00033429330630418974,-3.494581672836006e-05,10,10,beak
20,49,3,beak_3,3.1434410196345963e-12,-1.5497207073167374e-07,4.2064130499099017e-13,5.364417887676609e-08,1.5497521417269337e-07,-5.36437582354611e-08,5.066572796861614e-08,10,10,beak
31,36,3,beak_3,-1.443947468260376e-07,-7.193684723461047e-05,6.074129714761511e-07,-0.00046528875827789307,7.179245248778443e-05,0.0004658961712493692,0.0002688443118685768,10,10,beak
31,40,3,beak_3,-8.25231261103454e-09,0.0024134814739227295,-2.603002613454919e-08,-0.0021965266205370426,-0.0024134897262353405,0.002196500590510908,-0.00010849456786221623,10,10,beak
