sid_A,sid_B,var_old,var_new,shift_B_fwd,shift_A_fwd,delta_z_old_mean,delta_z_new_mean,shift_A_bwd,leakage_sym,part
11,35,3,2,0.0003336044322509224,-0.10971541404724121,-0.290479576587677,0.1031328592900536,0.004040097375400365,0.0021868509038256434,beak
11,47,3,1,0.009251251593377674,-0.35142037868499754,-0.5270374655723572,0.5804510414600372,0.0030661432952911126,0.006158697444334393,beak
12,13,3,0,0.002372936860047048,-0.10903797149658204,-0.6964994430541992,0.8101078473031521,0.0654481090605259,0.033910522960286474,beak
13,37,0,2,3.635717548604589e-05,-0.02370363473892212,-0.3707448601722717,0.2472690806724131,0.0009000165896395629,0.0004681868825628044,beak
13,42,0,3,8.849580353853526e-05,-0.13595041036605834,-0.952301847934723,0.8635948181152344,0.000141513115613634,0.00011500445957608463,beak
14,39,2,0,6.675181657556095e-06,-0.11691712141036988,-0.39772059917449953,0.6509893823647872,1.490768016765287e-06,4.082974837160691e-06,beak
14,44,2,1,0.0005006121238693595,-0.3199263334274292,-0.9799565672874451,0.8138770624995232,8.522902171534952e-05,0.0002929205727923545,beak
15,16,1,0,5.002420675737085e-06,-0.6633904457092286,-0.9598525047302247,0.9806588649749756,1.3824300799569755e-05,9.41336073765342e-06,beak
17,31,0,3,0.0006042614691978088,-0.3713207483291626,-0.9624147891998291,0.8279163300991058,6.589405784325208e-05,0.0003350777635205304,beak
18,47,0,1,0.053256479650735856,-0.5907896757125854,-0.9534063577651978,0.9565228939056396,0.007005962572293356,0.030131221111514606,beak
19,21,1,0,8.07587341114413e-05,-0.23791310787200928,-0.919135308265686,0.6999047636985779,1.000187606905456e-05,4.538030509024793e-05,beak
19,31,1,3,0.06210535615682602,-0.2888123869895935,-0.9455855011940002,0.9780282139778137,0.139807082520565,0.10095621933869552,beak
19,39,1,0,0.0009422529980383842,-0.23791310787200928,-0.919135308265686,0.6999047636985779,1.5940944649628364e-05,0.0004790969713440063,beak
20,23,3,1,0.0003256946729379706,-0.2633378028869629,-0.5675343036651611,0.6878797873854637,3.8012152906219398e-06,0.00016474794411429626,beak
20,44,3,1,0.0009906202443744406,-0.2633378028869629,-0.5675343036651611,0.6878797873854637,0.0006249325080716517,0.0008077763762230462,beak
21,41,0,1,0.0004953671101247892,-0.682226300239563,-0.7709708333015441,0.9121785998344422,0.00020893476612400265,0.00035215093812439595,beak
21,42,0,3,7.522768100898247e-07,-0.09187357425689698,-0.8200866460800171,0.9763244748115539,9.559135230574612e-06,5.155706020332218e-06,beak
22,37,0,2,0.0005490933376677276,-0.1337517559528351,-0.5772910952568054,0.24225428667850793,0.004533168552734423,0.0025411309452010753,beak
22,41,0,1,0.858394455909729,-0.6591668903827668,-0.961122453212738,0.9965995669364929,0.30446703881025317,0.5814307473599911,beak
22,47,0,1,0.0002178208320401609,-0.6591668903827668,-0.961122453212738,0.9965995669364929,0.00037501557453651914,0.00029641820328834,beak
23,32,1,0,5.5440455139432745e-05,-0.19178204536437987,-0.7624961614608765,0.517624931782484,1.5259752274232597e-06,2.8483215183428003e-05,beak
23,46,1,0,5.515053635463118e-06,-0.19178204536437987,-0.7624961614608765,0.517624931782484,0.00038746143045500505,0.0001964882420452341,beak
24,36,0,3,4.688060863884402e-05,0.031415688991546634,-0.7555448055267334,0.8087519153952598,8.363763868146634e-07,2.3858492512829342e-05,beak
24,42,0,3,1.778722613607897e-05,0.031415688991546634,-0.7555448055267334,0.8087519153952598,1.021307040218744e-05,1.4000148269133206e-05,beak
25,35,0,2,0.007444034892978379,-0.15189359188079835,-0.6132032752037049,0.06681246625958011,8.895856210529018e-05,0.0037664967275418348,beak
25,37,0,2,6.715755871482543e-05,-0.15189359188079835,-0.6132032752037049,0.06681246625958011,0.0007743293374005589,0.0004207434480576922,beak
26,35,0,2,0.0002073455343634123,-0.01948513984680176,-0.6447077393531799,0.23347521060495638,0.0004113982342460076,0.00030937188430471,beak
26,47,0,1,1.331960040715785e-05,-0.014982223510742188,-0.7583379745483398,0.2991545360535383,0.002001538782496937,0.0010074291914520474,beak
