sid_A,part,drop_A
38,beak,-0.06487685441970825
38,beak,-0.8002859950065613
27,beak,0.0001437067985534668
27,beak,0.00023365020751953125
27,beak,-3.4332275390625e-05
27,beak,0.0003694295883178711
27,beak,-0.0384211540222168
36,beak,-0.47087860107421875
36,beak,-0.459287166595459
36,beak,-0.4671252965927124
36,beak,-0.45666491985321045
36,beak,-0.45862191915512085
34,beak,-9.357929229736328e-05
34,beak,-0.025200843811035156
34,beak,-0.03812295198440552
34,beak,-0.0007550716400146484
34,beak,-0.031168818473815918
19,beak,-3.343820571899414e-05
19,beak,-0.00010335445404052734
19,beak,-8.028745651245117e-05
19,beak,0.00530397891998291
19,beak,-0.003146529197692871
21,beak,-0.009370803833007812
21,beak,-0.0020294785499572754
21,beak,-0.006536602973937988
21,beak,-0.0031600594520568848
21,beak,-0.002619802951812744
13,beak,0.0011664628982543945
13,beak,0.0010524988174438477
13,beak,0.0009558200836181641
13,beak,-0.00322723388671875
13,beak,-0.0005382895469665527
43,beak,-0.6085973978042603
43,beak,-0.767946183681488
43,beak,-0.6207358837127686
43,beak,-0.5825297236442566
43,beak,0.22469593584537506
39,beak,-0.155470609664917
39,beak,-0.3908476233482361
39,beak,-0.11416223645210266
39,beak,-0.2965053915977478
39,beak,-0.47362425923347473
28,beak,-0.1362447738647461
28,beak,-0.016063034534454346
28,beak,-0.03272277116775513
28,beak,-0.0030137300491333008
28,beak,-0.015307307243347168
17,beak,-0.0014706254005432129
17,beak,-0.012603163719177246
17,beak,-0.0166662335395813
17,beak,-0.0079115629196167
17,beak,-0.0004667043685913086
37,beak,-0.5812778472900391
37,beak,-0.0006856322288513184
37,beak,-0.001359403133392334
37,beak,-0.00344163179397583
37,beak,-0.027394264936447144
20,beak,-0.020514726638793945
20,beak,-0.03877443075180054
20,beak,-0.060280442237854004
20,beak,-0.013014078140258789
20,beak,-0.06596863269805908
23,beak,-0.0005184412002563477
23,beak,-0.001234889030456543
23,beak,-0.34351134300231934
23,beak,-0.005052149295806885
23,beak,-0.04733461141586304
5,beak,0.004324793815612793
5,beak,-0.03677898645401001
5,beak,-0.02065950632095337
5,beak,-0.033880770206451416
5,beak,-0.017356574535369873
30,beak,-0.014658451080322266
30,beak,-0.011458635330200195
30,beak,0.004241645336151123
30,beak,-0.001675426959991455
30,beak,-0.030060529708862305
25,beak,-0.02768707275390625
25,beak,-0.012405157089233398
25,beak,-0.125909686088562
25,beak,-0.00046241283416748047
25,beak,-0.07870537042617798
29,beak,-0.1605440378189087
29,beak,-0.005340397357940674
29,beak,-0.028563261032104492
29,beak,-0.05389171838760376
29,beak,-0.050537049770355225
49,beak,-0.013544440269470215
49,beak,-0.012168705463409424
49,beak,-0.38976943492889404
49,beak,-0.509402871131897
49,beak,0.004552185535430908
14,beak,-0.046173691749572754
14,beak,-0.0003291964530944824
14,beak,-0.001469433307647705
14,beak,-0.00011801719665527344
14,beak,-0.0218772292137146
41,beak,-0.0026859045028686523
41,beak,-0.07752907276153564
41,beak,-0.034213900566101074
41,beak,-0.007397770881652832
41,beak,-0.04975813627243042
48,beak,0.001676023006439209
48,beak,0.04915592819452286
48,beak,0.03938102722167969
48,beak,-0.17992785573005676
48,beak,0.18706902861595154
10,beak,0.01576334238052368
10,beak,-0.013704001903533936
10,beak,0.00034111738204956055
10,beak,-0.006469428539276123
10,beak,-0.04465705156326294
45,beak,-0.7452732920646667
45,beak,-0.028880059719085693
45,beak,-0.01473325490951538
45,beak,-0.008127212524414062
45,beak,-0.09203934669494629
12,beak,-0.0010704398155212402
12,beak,-0.0034219026565551758
12,beak,-0.00043845176696777344
12,beak,-0.00010001659393310547
12,beak,0.0027730464935302734
11,beak,-0.051444828510284424
11,beak,-0.03135961294174194
11,beak,-0.04216223955154419
11,beak,-0.015736043453216553
11,beak,-0.11600291728973389
1,beak,-0.00032061338424682617
1,beak,-5.125999450683594e-05
1,beak,-6.514787673950195e-05
1,beak,-0.0004794001579284668
1,beak,-0.003866434097290039
15,beak,-0.0026230812072753906
15,beak,-0.010910093784332275
15,beak,-0.012509167194366455
15,beak,-0.009390532970428467
15,beak,-0.01921701431274414
16,beak,0.0004468560218811035
16,beak,0.0008605718612670898
16,beak,5.173683166503906e-05
16,beak,0.00048476457595825195
16,beak,-0.00028252601623535156
8,beak,-0.0041961669921875
8,beak,-0.0858202576637268
8,beak,-0.0762513279914856
8,beak,-0.03551429510116577
8,beak,-0.008833169937133789
26,beak,-0.0006423592567443848
26,beak,-0.00026035308837890625
26,beak,-0.0005267858505249023
26,beak,-0.0012919902801513672
26,beak,-0.00044417381286621094
40,beak,0.0032632946968078613
40,beak,0.0006211400032043457
40,beak,-0.02873307466506958
40,beak,-0.00041997432708740234
40,beak,0.007485389709472656
18,beak,-0.4525752663612366
18,beak,-0.49464255571365356
18,beak,-0.36385855078697205
18,beak,-0.49759387969970703
18,beak,-0.48327258229255676
26,eye,-0.000667273998260498
26,eye,-0.0007724165916442871
26,eye,-0.000601649284362793
26,eye,-0.005174219608306885
26,eye,-0.005793452262878418
49,eye,-0.0003806948661804199
49,eye,-2.5451183319091797e-05
49,eye,-0.015063822269439697
49,eye,-0.02544349431991577
49,eye,0.05502581596374512
3,eye,-0.0009374022483825684
3,eye,-0.005869090557098389
3,eye,-0.03545796871185303
3,eye,-0.033633649349212646
3,eye,-0.008861958980560303
31,eye,-0.0023925304412841797
31,eye,0.0005116462707519531
31,eye,0.0005249977111816406
31,eye,-0.007645308971405029
31,eye,-0.01595747470855713
0,eye,0.0011975765228271484
0,eye,-0.3942405581474304
0,eye,-0.0031619668006896973
0,eye,-0.010826587677001953
0,eye,-0.545722246170044
39,eye,-0.12174439430236816
39,eye,-0.008562803268432617
39,eye,-0.13242247700691223
39,eye,-0.12355875968933105
39,eye,-0.004050195217132568
35,eye,-0.0035781264305114746
35,eye,-0.011308550834655762
35,eye,-0.004438519477844238
35,eye,-0.005096435546875
35,eye,-0.0056244730949401855
40,eye,0.0005426406860351562
40,eye,-0.001988828182220459
40,eye,-0.04584568738937378
40,eye,-0.002606630325317383
40,eye,0.0010644197463989258
9,eye,-2.8014183044433594e-06
9,eye,-7.987022399902344e-06
9,eye,-3.2067298889160156e-05
9,eye,-5.543231964111328e-06
9,eye,-2.4437904357910156e-06
24,eye,-0.10790830850601196
24,eye,-0.14809751510620117
24,eye,-0.01548093557357788
24,eye,-0.061741530895233154
24,eye,-0.3678686022758484
8,eye,-0.0013522505760192871
8,eye,-0.002214372158050537
8,eye,-0.0023909807205200195
8,eye,-0.0004069209098815918
8,eye,-0.006549537181854248
18,eye,-0.2726479172706604
18,eye,-0.015276134014129639
18,eye,0.00818091630935669
18,eye,-0.019828975200653076
18,eye,-0.008674144744873047
7,eye,-0.880479097366333
7,eye,-0.02343958616256714
7,eye,-0.001880347728729248
7,eye,-0.0013393759727478027
7,eye,-0.5786162614822388
25,eye,-0.006700038909912109
25,eye,-0.649846613407135
25,eye,-0.012681365013122559
25,eye,-0.048908531665802
25,eye,-0.7024485468864441
4,eye,-5.2809715270996094e-05
4,eye,-0.0426216721534729
4,eye,-0.00023049116134643555
4,eye,-0.0028519034385681152
4,eye,-0.0001112222671508789
29,eye,-0.42441242933273315
29,eye,-0.3686907887458801
29,eye,-0.4165611267089844
29,eye,-0.4699094593524933
29,eye,-0.4123729467391968
34,eye,-0.004992842674255371
34,eye,-0.015531718730926514
34,eye,-0.012957453727722168
34,eye,0.001843094825744629
34,eye,-0.001866757869720459
47,eye,-0.014904379844665527
47,eye,-0.014946818351745605
47,eye,-0.0014845728874206543
47,eye,-0.04457974433898926
47,eye,-0.01212918758392334
14,eye,-0.016971588134765625
14,eye,-0.00017589330673217773
14,eye,-0.017037510871887207
14,eye,-0.0025129318237304688
14,eye,-0.03240114450454712
21,eye,0.0014503002166748047
21,eye,-0.0007314682006835938
21,eye,-0.005486011505126953
21,eye,-0.013548195362091064
21,eye,-0.0014981627464294434
2,eye,-0.04096388816833496
2,eye,-0.4816280007362366
2,eye,-0.09054672718048096
2,eye,-0.12281304597854614
2,eye,-0.3749842643737793
37,eye,-0.0039064884185791016
37,eye,-0.0008930563926696777
37,eye,-0.00016570091247558594
37,eye,-0.00030291080474853516
37,eye,0.44574034214019775
23,eye,-0.2616031765937805
23,eye,-0.0008335113525390625
23,eye,0.0007704496383666992
23,eye,-0.0014990568161010742
23,eye,-0.007104694843292236
48,eye,-0.017241835594177246
48,eye,-0.027012553066015244
48,eye,-0.2953026294708252
48,eye,-0.2748357355594635
48,eye,-0.018608935177326202
15,eye,-0.1723279356956482
15,eye,-0.05234342813491821
15,eye,-0.01707237958908081
15,eye,-0.19809436798095703
15,eye,-0.015894830226898193
45,eye,-0.013127624988555908
45,eye,-0.007676959037780762
45,eye,-0.01918017864227295
45,eye,-0.01071840524673462
45,eye,-0.191209077835083
19,eye,-0.00010991096496582031
19,eye,-0.00031572580337524414
19,eye,-0.00028717517852783203
19,eye,0.007162749767303467
19,eye,-0.0010679960250854492
42,eye,-0.0011935830116271973
42,eye,-0.06005561351776123
42,eye,-0.00015980005264282227
42,eye,-0.5567712783813477
42,eye,-0.0003377199172973633
22,eye,-0.03665792942047119
22,eye,0.07892194390296936
22,eye,0.001205742359161377
22,eye,-0.0368385910987854
22,eye,0.0041005611419677734
30,eye,-0.0182955265045166
30,eye,-0.025877952575683594
30,eye,0.01593756675720215
30,eye,-0.004478394985198975
30,eye,3.981590270996094e-05
6,eye,-0.0094987154006958
6,eye,-0.0012387633323669434
6,eye,-0.0011331439018249512
6,eye,-0.0002682209014892578
6,eye,-1.3768672943115234e-05
28,eye,-0.00011926889419555664
28,eye,-0.00019538402557373047
28,eye,-0.0002474188804626465
28,eye,0.6305046081542969
28,eye,-4.661083221435547e-05
33,eye,-0.003172636032104492
33,eye,-0.0060898661613464355
33,eye,-0.01538628339767456
33,eye,-0.006525814533233643
33,eye,0.0035863518714904785
27,eye,-0.0024937987327575684
27,eye,-0.0024234652519226074
27,eye,-0.0014178752899169922
27,eye,-0.015841305255889893
27,eye,-0.047323644161224365
46,eye,-0.4966549873352051
46,eye,-0.46831244230270386
46,eye,-0.5309420228004456
46,eye,0.31651532649993896
46,eye,-0.5194103717803955
43,eye,-0.06932473182678223
43,eye,-0.01967078447341919
43,eye,-0.005587220191955566
43,eye,-0.003278672695159912
43,eye,0.6176682114601135
20,eye,-0.11705845594406128
20,eye,-0.7076220512390137
