species_id,species_name,n,n_pos,n_pred_pos,n_neg,prevalence,tp,recall,precision,recall_bs_mean,recall_ci_lo,recall_ci_hi,recall_ci_width,B,attr,model
11,funnybird_11,10,10,10,0,1.0,10,1.0,1.0,1.0,1.0,1.0,0.0,100,eye_0,baseline_fb
12,funnybird_12,10,10,9,0,1.0,9,0.9,1.0,0.91,0.7,1.0,0.30000000000000004,100,eye_0,baseline_fb
13,funnybird_13,10,0,0,10,0.0,0,,,,,,,100,eye_0,baseline_fb
14,funnybird_14,10,0,0,10,0.0,0,,,,,,,100,eye_0,baseline_fb
15,funnybird_15,10,0,0,10,0.0,0,,,,,,,100,eye_0,baseline_fb
16,funnybird_16,10,0,0,10,0.0,0,,,,,,,100,eye_0,baseline_fb
17,funnybird_17,10,0,0,10,0.0,0,,,,,,,100,eye_0,baseline_fb
18,funnybird_18,10,0,1,10,0.0,0,,0.0,,,,,100,eye_0,baseline_fb
19,funnybird_19,10,10,10,0,1.0,10,1.0,1.0,1.0,1.0,1.0,0.0,100,eye_0,baseline_fb
20,funnybird_20,10,0,0,10,0.0,0,,,,,,,100,eye_0,baseline_fb
21,funnybird_21,10,0,0,10,0.0,0,,,,,,,100,eye_0,baseline_fb
22,funnybird_22,10,0,0,10,0.0,0,,,,,,,100,eye_0,baseline_fb
49,funnybird_49,10,10,10,0,1.0,10,1.0,1.0,1.0,1.0,1.0,0.0,100,eye_0,baseline_fb
0,funnybird_00,10,10,10,0,1.0,10,1.0,1.0,1.0,1.0,1.0,0.0,100,beak_3,baseline_fb
37,funnybird_37,10,0,0,10,0.0,0,,,,,,,100,beak_3,baseline_fb
27,funnybird_27,10,0,0,10,0.0,0,,,,,,,100,beak_3,baseline_fb
28,funnybird_28,10,0,0,10,0.0,0,,,,,,,100,beak_3,baseline_fb
29,funnybird_29,10,0,0,10,0.0,0,,,,,,,100,beak_3,baseline_fb
30,funnybird_30,10,0,0,10,0.0,0,,,,,,,100,beak_3,baseline_fb
31,funnybird_31,10,10,9,0,1.0,9,0.9,1.0,0.904,0.7,1.0,0.30000000000000004,100,beak_3,baseline_fb
32,funnybird_32,10,0,0,10,0.0,0,,,,,,,100,beak_3,baseline_fb
33,funnybird_33,10,0,0,10,0.0,0,,,,,,,100,beak_3,baseline_fb
34,funnybird_34,10,0,0,10,0.0,0,,,,,,,100,beak_3,baseline_fb
