species_id,species_name,n,n_pos,n_pred_pos,n_neg,prevalence,tp,recall,precision,recall_bs_mean,recall_ci_lo,recall_ci_hi,recall_ci_width,B,attr,model
27,funnybird_27,10,0,0,10,0.0,0,,,,,,,100,tail_8,cbm
28,funnybird_28,10,0,0,10,0.0,0,,,,,,,100,tail_8,cbm
29,funnybird_29,10,0,0,10,0.0,0,,,,,,,100,tail_8,cbm
30,funnybird_30,10,0,0,10,0.0,0,,,,,,,100,tail_8,cbm
31,funnybird_31,10,10,10,0,1.0,10,1.0,1.0,1.0,1.0,1.0,0.0,100,tail_8,cbm
32,funnybird_32,10,0,0,10,0.0,0,,,,,,,100,tail_8,cbm
33,funnybird_33,10,0,1,10,0.0,0,,0.0,,,,,100,tail_8,cbm
34,funnybird_34,10,0,0,10,0.0,0,,,,,,,100,tail_8,cbm
35,funnybird_35,10,0,0,10,0.0,0,,,,,,,100,tail_8,cbm
36,funnybird_36,10,10,9,0,1.0,9,0.9,1.0,0.9040000000000004,0.7,1.0,0.30000000000000004,100,tail_8,cbm
38,funnybird_38,10,0,0,10,0.0,0,,,,,,,100,tail_8,cbm
1,funnybird_01,10,0,0,10,0.0,0,,,,,,,100,tail_8,cbm
39,funnybird_39,10,0,1,10,0.0,0,,0.0,,,,,100,tail_8,cbm
40,funnybird_40,10,0,1,10,0.0,0,,0.0,,,,,100,tail_8,cbm
41,funnybird_41,10,0,0,10,0.0,0,,,,,,,100,tail_8,cbm
42,funnybird_42,10,0,0,10,0.0,0,,,,,,,100,tail_8,cbm
43,funnybird_43,10,0,0,10,0.0,0,,,,,,,100,tail_8,cbm
44,funnybird_44,10,0,1,10,0.0,0,,0.0,,,,,100,tail_8,cbm
45,funnybird_45,10,0,1,10,0.0,0,,0.0,,,,,100,tail_8,cbm
46,funnybird_46,10,0,1,10,0.0,0,,0.0,,,,,100,tail_8,cbm
47,funnybird_47,10,10,10,0,1.0,10,1.0,1.0,1.0,1.0,1.0,0.0,100,tail_8,cbm
48,funnybird_48,10,0,0,10,0.0,0,,,,,,,100,tail_8,cbm
26,funnybird_26,10,0,0,10,0.0,0,,,,,,,100,tail_8,cbm
25,funnybird_25,10,0,0,10,0.0,0,,,,,,,100,tail_8,cbm
24,funnybird_24,10,0,0,10,0.0,0,,,,,,,100,tail_8,cbm
23,funnybird_23,10,0,1,10,0.0,0,,0.0,,,,,100,tail_8,cbm
