species_id,species_name,n,n_pos,n_pred_pos,n_neg,prevalence,tp,recall,attr,model
51,Horned Grebe,30,2,3,28,0.06666666666666667,0,0.0,has_upper_tail_color::white,cbm
50,Eared Grebe,30,4,7,26,0.13333333333333333,1,0.25,has_upper_tail_color::white,cbm
49,Boat tailed Grackle,30,0,0,30,0.0,0,,has_upper_tail_color::white,cbm
48,European Goldfinch,30,13,16,17,0.43333333333333335,6,0.46153846153846156,has_upper_tail_color::white,cbm
47,American Goldfinch,30,12,15,18,0.4,7,0.5833333333333334,has_upper_tail_color::white,cbm
63,Ivory Gull,30,26,27,4,0.8666666666666667,24,0.9230769230769231,has_upper_tail_color::white,cbm
46,Gadwall,30,1,7,29,0.03333333333333333,1,1.0,has_upper_tail_color::white,cbm
45,Northern Fulmar,30,10,20,20,0.3333333333333333,6,0.6,has_upper_tail_color::white,cbm
44,Frigatebird,30,0,1,30,0.0,0,,has_upper_tail_color::white,cbm
88,Western Meadowlark,30,5,13,25,0.16666666666666666,2,0.4,has_upper_tail_color::white,cbm
42,Vermilion Flycatcher,30,0,0,30,0.0,0,,has_upper_tail_color::white,cbm
41,Scissor tailed Flycatcher,30,6,14,24,0.2,4,0.6666666666666666,has_upper_tail_color::white,cbm
27,Shiny Cowbird,30,0,0,30,0.0,0,,has_upper_tail_color::white,cbm
40,Olive sided Flycatcher,30,2,2,28,0.06666666666666667,0,0.0,has_upper_tail_color::white,cbm
38,Great Crested Flycatcher,30,1,2,29,0.03333333333333333,1,1.0,has_upper_tail_color::white,cbm
36,Northern Flicker,30,4,17,26,0.13333333333333333,4,1.0,has_upper_tail_color::white,cbm
29,American Crow,30,0,0,30,0.0,0,,has_upper_tail_color::white,cbm
35,Purple Finch,30,6,6,24,0.2,3,0.5,has_upper_tail_color::white,cbm
30,Fish Crow,30,0,0,30,0.0,0,,has_upper_tail_color::white,cbm
21,Eastern Towhee,30,3,0,27,0.1,0,0.0,has_upper_tail_color::white,cbm
62,Herring Gull,30,19,25,11,0.6333333333333333,18,0.9473684210526315,has_upper_tail_color::white,cbm
64,Ring billed Gull,30,12,26,18,0.4,11,0.9166666666666666,has_upper_tail_color::white,cbm
73,Blue Jay,30,10,9,20,0.3333333333333333,3,0.3,has_upper_tail_color::white,cbm
87,Mallard,30,4,8,26,0.13333333333333333,0,0.0,has_upper_tail_color::white,cbm
86,Pacific Loon,30,6,17,24,0.2,3,0.5,has_upper_tail_color::white,cbm
85,Horned Lark,30,3,5,27,0.1,1,0.3333333333333333,has_upper_tail_color::white,cbm
4,Groove billed Ani,30,1,0,29,0.03333333333333333,0,0.0,has_upper_tail_color::white,cbm
83,White breasted Kingfisher,30,1,1,29,0.03333333333333333,0,0.0,has_upper_tail_color::white,cbm
82,Ringed Kingfisher,30,1,3,29,0.03333333333333333,0,0.0,has_upper_tail_color::white,cbm
81,Pied Kingfisher,30,19,28,11,0.6333333333333333,18,0.9473684210526315,has_upper_tail_color::white,cbm
80,Green Kingfisher,30,5,8,25,0.16666666666666666,3,0.6,has_upper_tail_color::white,cbm
79,Belted Kingfisher,30,2,9,28,0.06666666666666667,1,0.5,has_upper_tail_color::white,cbm
10,Red winged Blackbird,30,0,0,30,0.0,0,,has_upper_tail_color::white,cbm
77,Tropical Kingbird,30,1,1,29,0.03333333333333333,0,0.0,has_upper_tail_color::white,cbm
11,Rusty Blackbird,30,1,0,29,0.03333333333333333,0,0.0,has_upper_tail_color::white,cbm
74,Florida Jay,30,3,0,27,0.1,0,0.0,has_upper_tail_color::white,cbm
76,Dark eyed Junco,30,1,1,29,0.03333333333333333,0,0.0,has_upper_tail_color::white,cbm
72,Pomarine Jaeger,30,7,7,23,0.23333333333333334,2,0.2857142857142857,has_upper_tail_color::white,cbm
14,Indigo Bunting,30,0,1,30,0.0,0,,has_upper_tail_color::white,cbm
66,Western Gull,30,15,29,15,0.5,15,1.0,has_upper_tail_color::white,cbm
71,Long tailed Jaeger,30,5,6,25,0.16666666666666666,1,0.2,has_upper_tail_color::white,cbm
67,Anna Hummingbird,30,0,1,30,0.0,0,,has_upper_tail_color::white,cbm
68,Ruby throated Hummingbird,30,3,2,27,0.1,0,0.0,has_upper_tail_color::white,cbm
31,Black billed Cuckoo,30,1,1,29,0.03333333333333333,0,0.0,has_upper_tail_color::white,cbm
69,Rufous Hummingbird,30,1,0,29,0.03333333333333333,0,0.0,has_upper_tail_color::white,cbm
13,Bobolink,30,9,12,21,0.3,6,0.6666666666666666,has_upper_tail_color::white,cbm
70,Green Violetear,30,0,0,30,0.0,0,,has_upper_tail_color::white,cbm
181,Worm eating Warbler,29,1,0,28,0.034482758620689655,0,0.0,has_upper_tail_color::white,cbm
20,Yellow breasted Chat,29,2,0,27,0.06896551724137931,0,0.0,has_upper_tail_color::white,cbm
169,Magnolia Warbler,29,5,8,24,0.1724137931034483,1,0.2,has_upper_tail_color::white,cbm
168,Kentucky Warbler,29,0,1,29,0.0,0,,has_upper_tail_color::white,cbm
28,Brown Creeper,29,6,17,23,0.20689655172413793,5,0.8333333333333334,has_upper_tail_color::white,cbm
9,Brewer Blackbird,29,0,0,29,0.0,0,,has_upper_tail_color::white,cbm
166,Golden winged Warbler,29,6,2,23,0.20689655172413793,0,0.0,has_upper_tail_color::white,cbm
23,Brandt Cormorant,29,0,4,29,0.0,0,,has_upper_tail_color::white,cbm
190,Red cockaded Woodpecker,29,10,21,19,0.3448275862068966,7,0.7,has_upper_tail_color::white,cbm
33,Yellow billed Cuckoo,29,2,1,27,0.06896551724137931,0,0.0,has_upper_tail_color::white,cbm
179,Tennessee Warbler,29,0,0,29,0.0,0,,has_upper_tail_color::white,cbm
19,Gray Catbird,29,1,2,28,0.034482758620689655,0,0.0,has_upper_tail_color::white,cbm
43,Yellow bellied Flycatcher,29,0,5,29,0.0,0,,has_upper_tail_color::white,cbm
117,Clay colored Sparrow,29,5,9,24,0.1724137931034483,3,0.6,has_upper_tail_color::white,cbm
141,Artic Tern,29,15,24,14,0.5172413793103449,13,0.8666666666666667,has_upper_tail_color::white,cbm
160,Black throated Blue Warbler,29,1,3,28,0.034482758620689655,0,0.0,has_upper_tail_color::white,cbm
119,Field Sparrow,29,6,6,23,0.20689655172413793,1,0.16666666666666666,has_upper_tail_color::white,cbm
124,Le Conte Sparrow,29,1,7,28,0.034482758620689655,0,0.0,has_upper_tail_color::white,cbm
125,Lincoln Sparrow,29,2,8,27,0.06896551724137931,1,0.5,has_upper_tail_color::white,cbm
115,Brewer Sparrow,29,2,5,27,0.06896551724137931,0,0.0,has_upper_tail_color::white,cbm
60,Glaucous winged Gull,29,15,26,14,0.5172413793103449,12,0.8,has_upper_tail_color::white,cbm
78,Gray Kingbird,29,1,7,28,0.034482758620689655,1,1.0,has_upper_tail_color::white,cbm
97,Orchard Oriole,29,0,0,29,0.0,0,,has_upper_tail_color::white,cbm
149,Brown Thrasher,29,1,4,28,0.034482758620689655,0,0.0,has_upper_tail_color::white,cbm
39,Least Flycatcher,29,2,6,27,0.06896551724137931,1,0.5,has_upper_tail_color::white,cbm
153,Philadelphia Vireo,29,0,0,29,0.0,0,,has_upper_tail_color::white,cbm
37,Acadian Flycatcher,29,1,4,28,0.034482758620689655,0,0.0,has_upper_tail_color::white,cbm
157,Yellow throated Vireo,29,4,9,25,0.13793103448275862,0,0.0,has_upper_tail_color::white,cbm
34,Gray crowned Rosy Finch,29,6,3,23,0.20689655172413793,1,0.16666666666666666,has_upper_tail_color::white,cbm
3,Sooty Albatross,28,1,3,27,0.03571428571428571,1,1.0,has_upper_tail_color::white,cbm
15,Lazuli Bunting,28,1,5,27,0.03571428571428571,0,0.0,has_upper_tail_color::white,cbm
16,Painted Bunting,28,0,0,28,0.0,0,,has_upper_tail_color::white,cbm
58,Pigeon Guillemot,28,4,10,24,0.14285714285714285,1,0.25,has_upper_tail_color::white,cbm
17,Cardinal,27,0,1,27,0.0,0,,has_upper_tail_color::white,cbm
75,Green Jay,27,0,1,27,0.0,0,,has_upper_tail_color::white,cbm
178,Swainson Warbler,26,0,0,26,0.0,0,,has_upper_tail_color::white,cbm
12,Yellow headed Blackbird,26,0,3,26,0.0,0,,has_upper_tail_color::white,cbm
22,Chuck will Widow,26,2,4,24,0.07692307692307693,1,0.5,has_upper_tail_color::white,cbm
7,Parakeet Auklet,23,1,1,22,0.043478260869565216,0,0.0,has_upper_tail_color::white,cbm
84,Red legged Kittiwake,23,11,22,12,0.4782608695652174,11,1.0,has_upper_tail_color::white,cbm
32,Mangrove Cuckoo,23,1,0,22,0.043478260869565216,0,0.0,has_upper_tail_color::white,cbm
24,Red faced Cormorant,22,0,0,22,0.0,0,,has_upper_tail_color::white,cbm
151,Black capped Vireo,21,2,1,19,0.09523809523809523,0,0.0,has_upper_tail_color::white,cbm
113,Baird Sparrow,20,2,6,18,0.1,0,0.0,has_upper_tail_color::white,cbm
187,American Three toed Woodpecker,20,4,9,16,0.2,3,0.75,has_upper_tail_color::white,cbm
65,Slaty backed Gull,20,14,17,6,0.7,12,0.8571428571428571,has_upper_tail_color::white,cbm
101,White Pelican,20,12,19,8,0.6,11,0.9166666666666666,has_upper_tail_color::white,cbm
105,Whip poor Will,19,5,3,14,0.2631578947368421,2,0.4,has_upper_tail_color::white,cbm
8,Rhinoceros Auklet,18,0,1,18,0.0,0,,has_upper_tail_color::white,cbm
18,Spotted Catbird,15,0,0,15,0.0,0,,has_upper_tail_color::white,cbm
5,Crested Auklet,14,0,0,14,0.0,0,,has_upper_tail_color::white,cbm
6,Least Auklet,11,4,4,7,0.36363636363636365,3,0.75,has_upper_tail_color::white,cbm
1,Black footed Albatross,30,3,0,27,0.1,0,0.0,has_bill_shape::all-purpose,cbm
143,Caspian Tern,30,6,0,24,0.2,0,0.0,has_bill_shape::all-purpose,cbm
120,Fox Sparrow,30,6,9,24,0.2,3,0.5,has_bill_shape::all-purpose,cbm
121,Grasshopper Sparrow,30,7,3,23,0.23333333333333334,1,0.14285714285714285,has_bill_shape::all-purpose,cbm
122,Harris Sparrow,30,2,1,28,0.06666666666666667,0,0.0,has_bill_shape::all-purpose,cbm
123,Henslow Sparrow,30,5,2,25,0.16666666666666666,0,0.0,has_bill_shape::all-purpose,cbm
126,Nelson Sharp tailed Sparrow,30,13,8,17,0.43333333333333335,2,0.15384615384615385,has_bill_shape::all-purpose,cbm
127,Savannah Sparrow,30,4,2,26,0.13333333333333333,0,0.0,has_bill_shape::all-purpose,cbm
128,Seaside Sparrow,30,14,4,16,0.4666666666666667,2,0.14285714285714285,has_bill_shape::all-purpose,cbm
129,Song Sparrow,30,3,1,27,0.1,0,0.0,has_bill_shape::all-purpose,cbm
130,Tree Sparrow,30,0,2,30,0.0,0,,has_bill_shape::all-purpose,cbm
131,Vesper Sparrow,30,8,3,22,0.26666666666666666,0,0.0,has_bill_shape::all-purpose,cbm
132,White crowned Sparrow,30,0,1,30,0.0,0,,has_bill_shape::all-purpose,cbm
133,White throated Sparrow,30,4,0,26,0.13333333333333333,0,0.0,has_bill_shape::all-purpose,cbm
134,Cape Glossy Starling,30,24,15,6,0.8,13,0.5416666666666666,has_bill_shape::all-purpose,cbm
135,Bank Swallow,30,11,7,19,0.36666666666666664,3,0.2727272727272727,has_bill_shape::all-purpose,cbm
136,Barn Swallow,30,12,6,18,0.4,2,0.16666666666666666,has_bill_shape::all-purpose,cbm
137,Cliff Swallow,30,11,1,19,0.36666666666666664,1,0.09090909090909091,has_bill_shape::all-purpose,cbm
138,Tree Swallow,30,11,4,19,0.36666666666666664,0,0.0,has_bill_shape::all-purpose,cbm
139,Scarlet Tanager,30,11,7,19,0.36666666666666664,3,0.2727272727272727,has_bill_shape::all-purpose,cbm
140,Summer Tanager,30,14,7,16,0.4666666666666667,3,0.21428571428571427,has_bill_shape::all-purpose,cbm
118,House Sparrow,30,4,2,26,0.13333333333333333,0,0.0,has_bill_shape::all-purpose,cbm
116,Chipping Sparrow,30,6,3,24,0.2,0,0.0,has_bill_shape::all-purpose,cbm
114,Black throated Sparrow,30,4,20,26,0.13333333333333333,4,1.0,has_bill_shape::all-purpose,cbm
2,Laysan Albatross,30,0,0,30,0.0,0,,has_bill_shape::all-purpose,cbm
92,Nighthawk,30,7,1,23,0.23333333333333334,0,0.0,has_bill_shape::all-purpose,cbm
93,Clark Nutcracker,30,11,8,19,0.36666666666666664,2,0.18181818181818182,has_bill_shape::all-purpose,cbm
94,White breasted Nuthatch,30,22,23,8,0.7333333333333333,17,0.7727272727272727,has_bill_shape::all-purpose,cbm
95,Baltimore Oriole,30,16,20,14,0.5333333333333333,11,0.6875,has_bill_shape::all-purpose,cbm
96,Hooded Oriole,30,16,21,14,0.5333333333333333,13,0.8125,has_bill_shape::all-purpose,cbm
98,Scott Oriole,30,20,16,10,0.6666666666666666,11,0.55,has_bill_shape::all-purpose,cbm
99,Ovenbird,30,24,25,6,0.8,19,0.7916666666666666,has_bill_shape::all-purpose,cbm
100,Brown Pelican,30,2,0,28,0.06666666666666667,0,0.0,has_bill_shape::all-purpose,cbm
102,Western Wood Pewee,30,24,15,6,0.8,13,0.5416666666666666,has_bill_shape::all-purpose,cbm
112,Great Grey Shrike,30,6,4,24,0.2,0,0.0,has_bill_shape::all-purpose,cbm
103,Sayornis,30,20,23,10,0.6666666666666666,16,0.8,has_bill_shape::all-purpose,cbm
104,American Pipit,30,24,21,6,0.8,16,0.6666666666666666,has_bill_shape::all-purpose,cbm
106,Horned Puffin,30,4,1,26,0.13333333333333333,0,0.0,has_bill_shape::all-purpose,cbm
107,Common Raven,30,14,10,16,0.4666666666666667,4,0.2857142857142857,has_bill_shape::all-purpose,cbm
108,White necked Raven,30,3,4,27,0.1,0,0.0,has_bill_shape::all-purpose,cbm
109,American Redstart,30,18,19,12,0.6,12,0.6666666666666666,has_bill_shape::all-purpose,cbm
110,Geococcyx,30,11,10,19,0.36666666666666664,4,0.36363636363636365,has_bill_shape::all-purpose,cbm
111,Loggerhead Shrike,30,7,3,23,0.23333333333333334,0,0.0,has_bill_shape::all-purpose,cbm
142,Black Tern,30,18,6,12,0.6,4,0.2222222222222222,has_bill_shape::all-purpose,cbm
144,Common Tern,30,9,2,21,0.3,1,0.1111111111111111,has_bill_shape::all-purpose,cbm
90,Red breasted Merganser,30,3,0,27,0.1,0,0.0,has_bill_shape::all-purpose,cbm
145,Elegant Tern,30,2,1,28,0.06666666666666667,0,0.0,has_bill_shape::all-purpose,cbm
176,Prairie Warbler,30,25,30,5,0.8333333333333334,25,1.0,has_bill_shape::all-purpose,cbm
177,Prothonotary Warbler,30,25,29,5,0.8333333333333334,24,0.96,has_bill_shape::all-purpose,cbm
180,Wilson Warbler,30,23,26,7,0.7666666666666667,19,0.8260869565217391,has_bill_shape::all-purpose,cbm
182,Yellow Warbler,30,24,28,6,0.8,22,0.9166666666666666,has_bill_shape::all-purpose,cbm
183,Northern Waterthrush,30,25,26,5,0.8333333333333334,22,0.88,has_bill_shape::all-purpose,cbm
184,Louisiana Waterthrush,30,27,27,3,0.9,24,0.8888888888888888,has_bill_shape::all-purpose,cbm
185,Bohemian Waxwing,30,12,3,18,0.4,0,0.0,has_bill_shape::all-purpose,cbm
186,Cedar Waxwing,30,12,25,18,0.4,10,0.8333333333333334,has_bill_shape::all-purpose,cbm
188,Pileated Woodpecker,30,2,5,28,0.06666666666666667,0,0.0,has_bill_shape::all-purpose,cbm
189,Red bellied Woodpecker,30,7,3,23,0.23333333333333334,1,0.14285714285714285,has_bill_shape::all-purpose,cbm
191,Red headed Woodpecker,30,11,4,19,0.36666666666666664,2,0.18181818181818182,has_bill_shape::all-purpose,cbm
192,Downy Woodpecker,30,14,10,16,0.4666666666666667,6,0.42857142857142855,has_bill_shape::all-purpose,cbm
193,Bewick Wren,30,20,17,10,0.6666666666666666,11,0.55,has_bill_shape::all-purpose,cbm
194,Cactus Wren,30,13,6,17,0.43333333333333335,2,0.15384615384615385,has_bill_shape::all-purpose,cbm
195,Carolina Wren,30,20,22,10,0.6666666666666666,14,0.7,has_bill_shape::all-purpose,cbm
196,House Wren,30,23,23,7,0.7666666666666667,17,0.7391304347826086,has_bill_shape::all-purpose,cbm
197,Marsh Wren,30,15,12,15,0.5,5,0.3333333333333333,has_bill_shape::all-purpose,cbm
198,Rock Wren,30,14,18,16,0.4666666666666667,11,0.7857142857142857,has_bill_shape::all-purpose,cbm
199,Winter Wren,30,26,23,4,0.8666666666666667,20,0.7692307692307693,has_bill_shape::all-purpose,cbm
175,Pine Warbler,30,25,28,5,0.8333333333333334,24,0.96,has_bill_shape::all-purpose,cbm
174,Palm Warbler,30,26,27,4,0.8666666666666667,23,0.8846153846153846,has_bill_shape::all-purpose,cbm
173,Orange crowned Warbler,30,23,29,7,0.7666666666666667,22,0.9565217391304348,has_bill_shape::all-purpose,cbm
158,Bay breasted Warbler,30,21,20,9,0.7,13,0.6190476190476191,has_bill_shape::all-purpose,cbm
146,Forsters Tern,30,5,1,25,0.16666666666666666,1,0.2,has_bill_shape::all-purpose,cbm
147,Least Tern,30,4,2,26,0.13333333333333333,0,0.0,has_bill_shape::all-purpose,cbm
148,Green tailed Towhee,30,6,5,24,0.2,2,0.3333333333333333,has_bill_shape::all-purpose,cbm
150,Sage Thrasher,30,29,19,1,0.9666666666666667,19,0.6551724137931034,has_bill_shape::all-purpose,cbm
152,Blue headed Vireo,30,18,27,12,0.6,15,0.8333333333333334,has_bill_shape::all-purpose,cbm
154,Red eyed Vireo,30,26,25,4,0.8666666666666667,23,0.8846153846153846,has_bill_shape::all-purpose,cbm
155,Warbling Vireo,30,24,26,6,0.8,21,0.875,has_bill_shape::all-purpose,cbm
