species_id,species_name,n,n_pos,n_pred_pos,n_neg,prevalence,tp,recall,attr,model
61,Heermann Gull,30,10,7,20,0.3333333333333333,2,0.2,has_upper_tail_color::white,baseline
59,California Gull,30,12,20,18,0.4,8,0.6666666666666666,has_upper_tail_color::white,baseline
25,Pelagic Cormorant,30,2,0,28,0.06666666666666667,0,0.0,has_upper_tail_color::white,baseline
57,Rose breasted Grosbeak,30,5,2,25,0.16666666666666666,0,0.0,has_upper_tail_color::white,baseline
56,Pine Grosbeak,30,1,0,29,0.03333333333333333,0,0.0,has_upper_tail_color::white,baseline
55,Evening Grosbeak,30,5,0,25,0.16666666666666666,0,0.0,has_upper_tail_color::white,baseline
54,Blue Grosbeak,30,0,0,30,0.0,0,,has_upper_tail_color::white,baseline
53,Western Grebe,30,2,8,28,0.06666666666666667,0,0.0,has_upper_tail_color::white,baseline
52,Pied billed Grebe,30,3,0,27,0.1,0,0.0,has_upper_tail_color::white,baseline
51,Horned Grebe,30,2,0,28,0.06666666666666667,0,0.0,has_upper_tail_color::white,baseline
50,Eared Grebe,30,4,3,26,0.13333333333333333,1,0.25,has_upper_tail_color::white,baseline
49,Boat tailed Grackle,30,0,0,30,0.0,0,,has_upper_tail_color::white,baseline
48,European Goldfinch,30,13,5,17,0.43333333333333335,5,0.38461538461538464,has_upper_tail_color::white,baseline
47,American Goldfinch,30,12,2,18,0.4,1,0.08333333333333333,has_upper_tail_color::white,baseline
63,Ivory Gull,30,26,22,4,0.8666666666666667,21,0.8076923076923077,has_upper_tail_color::white,baseline
46,Gadwall,30,1,1,29,0.03333333333333333,0,0.0,has_upper_tail_color::white,baseline
45,Northern Fulmar,30,10,10,20,0.3333333333333333,3,0.3,has_upper_tail_color::white,baseline
44,Frigatebird,30,0,1,30,0.0,0,,has_upper_tail_color::white,baseline
88,Western Meadowlark,30,5,5,25,0.16666666666666666,2,0.4,has_upper_tail_color::white,baseline
42,Vermilion Flycatcher,30,0,0,30,0.0,0,,has_upper_tail_color::white,baseline
41,Scissor tailed Flycatcher,30,6,4,24,0.2,2,0.3333333333333333,has_upper_tail_color::white,baseline
27,Shiny Cowbird,30,0,0,30,0.0,0,,has_upper_tail_color::white,baseline
40,Olive sided Flycatcher,30,2,0,28,0.06666666666666667,0,0.0,has_upper_tail_color::white,baseline
38,Great Crested Flycatcher,30,1,0,29,0.03333333333333333,0,0.0,has_upper_tail_color::white,baseline
36,Northern Flicker,30,4,4,26,0.13333333333333333,1,0.25,has_upper_tail_color::white,baseline
29,American Crow,30,0,0,30,0.0,0,,has_upper_tail_color::white,baseline
35,Purple Finch,30,6,0,24,0.2,0,0.0,has_upper_tail_color::white,baseline
30,Fish Crow,30,0,0,30,0.0,0,,has_upper_tail_color::white,baseline
21,Eastern Towhee,30,3,0,27,0.1,0,0.0,has_upper_tail_color::white,baseline
62,Herring Gull,30,19,22,11,0.6333333333333333,15,0.7894736842105263,has_upper_tail_color::white,baseline
64,Ring billed Gull,30,12,24,18,0.4,9,0.75,has_upper_tail_color::white,baseline
73,Blue Jay,30,10,1,20,0.3333333333333333,1,0.1,has_upper_tail_color::white,baseline
87,Mallard,30,4,4,26,0.13333333333333333,0,0.0,has_upper_tail_color::white,baseline
86,Pacific Loon,30,6,10,24,0.2,3,0.5,has_upper_tail_color::white,baseline
85,Horned Lark,30,3,0,27,0.1,0,0.0,has_upper_tail_color::white,baseline
4,Groove billed Ani,30,1,0,29,0.03333333333333333,0,0.0,has_upper_tail_color::white,baseline
83,White breasted Kingfisher,30,1,0,29,0.03333333333333333,0,0.0,has_upper_tail_color::white,baseline
82,Ringed Kingfisher,30,1,0,29,0.03333333333333333,0,0.0,has_upper_tail_color::white,baseline
81,Pied Kingfisher,30,19,20,11,0.6333333333333333,12,0.631578947368421,has_upper_tail_color::white,baseline
80,Green Kingfisher,30,5,2,25,0.16666666666666666,1,0.2,has_upper_tail_color::white,baseline
79,Belted Kingfisher,30,2,3,28,0.06666666666666667,0,0.0,has_upper_tail_color::white,baseline
10,Red winged Blackbird,30,0,0,30,0.0,0,,has_upper_tail_color::white,baseline
77,Tropical Kingbird,30,1,0,29,0.03333333333333333,0,0.0,has_upper_tail_color::white,baseline
11,Rusty Blackbird,30,1,0,29,0.03333333333333333,0,0.0,has_upper_tail_color::white,baseline
74,Florida Jay,30,3,0,27,0.1,0,0.0,has_upper_tail_color::white,baseline
76,Dark eyed Junco,30,1,0,29,0.03333333333333333,0,0.0,has_upper_tail_color::white,baseline
72,Pomarine Jaeger,30,7,2,23,0.23333333333333334,1,0.14285714285714285,has_upper_tail_color::white,baseline
14,Indigo Bunting,30,0,0,30,0.0,0,,has_upper_tail_color::white,baseline
66,Western Gull,30,15,25,15,0.5,13,0.8666666666666667,has_upper_tail_color::white,baseline
71,Long tailed Jaeger,30,5,1,25,0.16666666666666666,0,0.0,has_upper_tail_color::white,baseline
67,Anna Hummingbird,30,0,0,30,0.0,0,,has_upper_tail_color::white,baseline
68,Ruby throated Hummingbird,30,3,0,27,0.1,0,0.0,has_upper_tail_color::white,baseline
31,Black billed Cuckoo,30,1,0,29,0.03333333333333333,0,0.0,has_upper_tail_color::white,baseline
