species_id,species_name,n,n_pos,n_pred_pos,n_neg,prevalence,tp,recall,attr,model
45,Northern Fulmar,30,0,0,30,0.0,0,,has_primary_color::yellow,cbm
44,Frigatebird,30,1,0,29,0.03333333333333333,0,0.0,has_primary_color::yellow,cbm
88,Western Meadowlark,30,21,24,9,0.7,18,0.8571428571428571,has_primary_color::yellow,cbm
42,Vermilion Flycatcher,30,0,2,30,0.0,0,,has_primary_color::yellow,cbm
41,Scissor tailed Flycatcher,30,1,1,29,0.03333333333333333,0,0.0,has_primary_color::yellow,cbm
27,Shiny Cowbird,30,0,0,30,0.0,0,,has_primary_color::yellow,cbm
40,Olive sided Flycatcher,30,2,1,28,0.06666666666666667,1,0.5,has_primary_color::yellow,cbm
38,Great Crested Flycatcher,30,14,19,16,0.4666666666666667,11,0.7857142857142857,has_primary_color::yellow,cbm
36,Northern Flicker,30,3,1,27,0.1,1,0.3333333333333333,has_primary_color::yellow,cbm
29,American Crow,30,0,1,30,0.0,0,,has_primary_color::yellow,cbm
35,Purple Finch,30,0,0,30,0.0,0,,has_primary_color::yellow,cbm
30,Fish Crow,30,0,0,30,0.0,0,,has_primary_color::yellow,cbm
21,Eastern Towhee,30,0,1,30,0.0,0,,has_primary_color::yellow,cbm
62,Herring Gull,30,0,0,30,0.0,0,,has_primary_color::yellow,cbm
64,Ring billed Gull,30,0,0,30,0.0,0,,has_primary_color::yellow,cbm
73,Blue Jay,30,0,0,30,0.0,0,,has_primary_color::yellow,cbm
87,Mallard,30,2,0,28,0.06666666666666667,0,0.0,has_primary_color::yellow,cbm
86,Pacific Loon,30,0,0,30,0.0,0,,has_primary_color::yellow,cbm
85,Horned Lark,30,4,5,26,0.13333333333333333,1,0.25,has_primary_color::yellow,cbm
4,Groove billed Ani,30,0,0,30,0.0,0,,has_primary_color::yellow,cbm
83,White breasted Kingfisher,30,0,1,30,0.0,0,,has_primary_color::yellow,cbm
82,Ringed Kingfisher,30,0,0,30,0.0,0,,has_primary_color::yellow,cbm
81,Pied Kingfisher,30,0,0,30,0.0,0,,has_primary_color::yellow,cbm
80,Green Kingfisher,30,0,0,30,0.0,0,,has_primary_color::yellow,cbm
79,Belted Kingfisher,30,0,0,30,0.0,0,,has_primary_color::yellow,cbm
10,Red winged Blackbird,30,0,1,30,0.0,0,,has_primary_color::yellow,cbm
77,Tropical Kingbird,30,21,26,9,0.7,19,0.9047619047619048,has_primary_color::yellow,cbm
11,Rusty Blackbird,30,0,0,30,0.0,0,,has_primary_color::yellow,cbm
74,Florida Jay,30,0,1,30,0.0,0,,has_primary_color::yellow,cbm
76,Dark eyed Junco,30,0,1,30,0.0,0,,has_primary_color::yellow,cbm
72,Pomarine Jaeger,30,0,0,30,0.0,0,,has_primary_color::yellow,cbm
14,Indigo Bunting,30,1,0,29,0.03333333333333333,0,0.0,has_primary_color::yellow,cbm
66,Western Gull,30,0,0,30,0.0,0,,has_primary_color::yellow,cbm
71,Long tailed Jaeger,30,0,0,30,0.0,0,,has_primary_color::yellow,cbm
67,Anna Hummingbird,30,1,0,29,0.03333333333333333,0,0.0,has_primary_color::yellow,cbm
68,Ruby throated Hummingbird,30,1,3,29,0.03333333333333333,0,0.0,has_primary_color::yellow,cbm
31,Black billed Cuckoo,30,1,2,29,0.03333333333333333,0,0.0,has_primary_color::yellow,cbm
69,Rufous Hummingbird,30,1,1,29,0.03333333333333333,0,0.0,has_primary_color::yellow,cbm
13,Bobolink,30,5,2,25,0.16666666666666666,0,0.0,has_primary_color::yellow,cbm
70,Green Violetear,30,0,1,30,0.0,0,,has_primary_color::yellow,cbm
181,Worm eating Warbler,29,12,15,17,0.41379310344827586,8,0.6666666666666666,has_primary_color::yellow,cbm
20,Yellow breasted Chat,29,23,28,6,0.7931034482758621,23,1.0,has_primary_color::yellow,cbm
169,Magnolia Warbler,29,26,29,3,0.896551724137931,26,1.0,has_primary_color::yellow,cbm
168,Kentucky Warbler,29,23,29,6,0.7931034482758621,23,1.0,has_primary_color::yellow,cbm
28,Brown Creeper,29,0,0,29,0.0,0,,has_primary_color::yellow,cbm
9,Brewer Blackbird,29,0,0,29,0.0,0,,has_primary_color::yellow,cbm
166,Golden winged Warbler,29,10,23,19,0.3448275862068966,9,0.9,has_primary_color::yellow,cbm
23,Brandt Cormorant,29,0,0,29,0.0,0,,has_primary_color::yellow,cbm
190,Red cockaded Woodpecker,29,0,2,29,0.0,0,,has_primary_color::yellow,cbm
33,Yellow billed Cuckoo,29,0,3,29,0.0,0,,has_primary_color::yellow,cbm
179,Tennessee Warbler,29,18,16,11,0.6206896551724138,13,0.7222222222222222,has_primary_color::yellow,cbm
19,Gray Catbird,29,0,0,29,0.0,0,,has_primary_color::yellow,cbm
43,Yellow bellied Flycatcher,29,10,19,19,0.3448275862068966,8,0.8,has_primary_color::yellow,cbm
117,Clay colored Sparrow,29,1,0,28,0.034482758620689655,0,0.0,has_primary_color::yellow,cbm
141,Artic Tern,29,0,0,29,0.0,0,,has_primary_color::yellow,cbm
160,Black throated Blue Warbler,29,0,2,29,0.0,0,,has_primary_color::yellow,cbm
119,Field Sparrow,29,0,1,29,0.0,0,,has_primary_color::yellow,cbm
124,Le Conte Sparrow,29,3,2,26,0.10344827586206896,0,0.0,has_primary_color::yellow,cbm
125,Lincoln Sparrow,29,0,1,29,0.0,0,,has_primary_color::yellow,cbm
115,Brewer Sparrow,29,1,0,28,0.034482758620689655,0,0.0,has_primary_color::yellow,cbm
60,Glaucous winged Gull,29,1,0,28,0.034482758620689655,0,0.0,has_primary_color::yellow,cbm
78,Gray Kingbird,29,0,0,29,0.0,0,,has_primary_color::yellow,cbm
97,Orchard Oriole,29,5,4,24,0.1724137931034483,2,0.4,has_primary_color::yellow,cbm
149,Brown Thrasher,29,2,1,27,0.06896551724137931,0,0.0,has_primary_color::yellow,cbm
39,Least Flycatcher,29,1,3,28,0.034482758620689655,1,1.0,has_primary_color::yellow,cbm
153,Philadelphia Vireo,29,16,20,13,0.5517241379310345,14,0.875,has_primary_color::yellow,cbm
37,Acadian Flycatcher,29,1,6,28,0.034482758620689655,0,0.0,has_primary_color::yellow,cbm
157,Yellow throated Vireo,29,19,29,10,0.6551724137931034,19,1.0,has_primary_color::yellow,cbm
34,Gray crowned Rosy Finch,29,1,0,28,0.034482758620689655,0,0.0,has_primary_color::yellow,cbm
3,Sooty Albatross,28,0,0,28,0.0,0,,has_primary_color::yellow,cbm
15,Lazuli Bunting,28,0,2,28,0.0,0,,has_primary_color::yellow,cbm
16,Painted Bunting,28,6,4,22,0.21428571428571427,1,0.16666666666666666,has_primary_color::yellow,cbm
58,Pigeon Guillemot,28,0,0,28,0.0,0,,has_primary_color::yellow,cbm
17,Cardinal,27,0,0,27,0.0,0,,has_primary_color::yellow,cbm
75,Green Jay,27,14,19,13,0.5185185185185185,11,0.7857142857142857,has_primary_color::yellow,cbm
178,Swainson Warbler,26,3,4,23,0.11538461538461539,3,1.0,has_primary_color::yellow,cbm
12,Yellow headed Blackbird,26,18,17,8,0.6923076923076923,11,0.6111111111111112,has_primary_color::yellow,cbm
22,Chuck will Widow,26,1,1,25,0.038461538461538464,0,0.0,has_primary_color::yellow,cbm
7,Parakeet Auklet,23,0,0,23,0.0,0,,has_primary_color::yellow,cbm
84,Red legged Kittiwake,23,0,0,23,0.0,0,,has_primary_color::yellow,cbm
32,Mangrove Cuckoo,23,2,2,21,0.08695652173913043,0,0.0,has_primary_color::yellow,cbm
24,Red faced Cormorant,22,0,0,22,0.0,0,,has_primary_color::yellow,cbm
151,Black capped Vireo,21,2,6,19,0.09523809523809523,1,0.5,has_primary_color::yellow,cbm
113,Baird Sparrow,20,1,0,19,0.05,0,0.0,has_primary_color::yellow,cbm
187,American Three toed Woodpecker,20,0,1,20,0.0,0,,has_primary_color::yellow,cbm
65,Slaty backed Gull,20,0,0,20,0.0,0,,has_primary_color::yellow,cbm
101,White Pelican,20,1,0,19,0.05,0,0.0,has_primary_color::yellow,cbm
105,Whip poor Will,19,1,0,18,0.05263157894736842,0,0.0,has_primary_color::yellow,cbm
8,Rhinoceros Auklet,18,1,0,17,0.05555555555555555,0,0.0,has_primary_color::yellow,cbm
18,Spotted Catbird,15,1,6,14,0.06666666666666667,1,1.0,has_primary_color::yellow,cbm
5,Crested Auklet,14,0,0,14,0.0,0,,has_primary_color::yellow,cbm
6,Least Auklet,11,0,0,11,0.0,0,,has_primary_color::yellow,cbm
1,Black footed Albatross,30,0,0,30,0.0,0,,has_throat_color::yellow,cbm
143,Caspian Tern,30,0,1,30,0.0,0,,has_throat_color::yellow,cbm
120,Fox Sparrow,30,0,0,30,0.0,0,,has_throat_color::yellow,cbm
121,Grasshopper Sparrow,30,0,6,30,0.0,0,,has_throat_color::yellow,cbm
122,Harris Sparrow,30,0,0,30,0.0,0,,has_throat_color::yellow,cbm
123,Henslow Sparrow,30,0,5,30,0.0,0,,has_throat_color::yellow,cbm
126,Nelson Sharp tailed Sparrow,30,2,7,28,0.06666666666666667,0,0.0,has_throat_color::yellow,cbm
127,Savannah Sparrow,30,0,7,30,0.0,0,,has_throat_color::yellow,cbm
128,Seaside Sparrow,30,0,4,30,0.0,0,,has_throat_color::yellow,cbm
129,Song Sparrow,30,0,0,30,0.0,0,,has_throat_color::yellow,cbm
130,Tree Sparrow,30,0,1,30,0.0,0,,has_throat_color::yellow,cbm
131,Vesper Sparrow,30,0,2,30,0.0,0,,has_throat_color::yellow,cbm
132,White crowned Sparrow,30,0,0,30,0.0,0,,has_throat_color::yellow,cbm
